community,min_temp,max_temp,elevation,isothermality,mean_temp,precip,seasonal_temp
Algarve,6.831666666666669,29.341666666666676,168.0,42.999999999999986,16.618333333333336,70.47666666666667,450.48666666666657
Andalucia,3.5222005842259008,32.681694255111964,469.79844206426486,41.49883154819863,15.922005842258999,60.16202531645571,603.8857838364162
Aragon,-0.739964476021315,29.081172291296642,827.101243339254,39.29911190053286,11.883126110124351,28.455239786856108,646.5781527531082
Asturias,2.5730769230769233,25.332692307692305,565.3461538461538,40.63269230769232,12.430769230769235,50.832692307692305,489.1269230769231
Castilla y Leon,-0.6892425905598247,27.802085620197605,932.5708013172338,38.952689352360004,11.116794731064765,35.545773874862824,620.4908891328204
Castilla-La Mancha,-0.1262077294685986,32.37512077294688,830.7125603864735,39.22874396135266,13.436352657004825,39.484299516908244,701.1870772946867
Cataluna,0.3268698060941827,27.175069252077563,642.6149584487534,37.68587257617734,12.25927977839334,26.418005540166202,604.9324099722994
Comunidad de Madrid,0.2704545454545455,30.643181818181812,820.8863636363636,37.05227272727273,13.006818181818183,38.13068181818182,683.9409090909091
Comunitat Valenciana,1.9873015873015862,30.616666666666656,489.43650793650795,41.11626984126986,14.707539682539686,36.485317460317475,610.3634920634917
Euskadi,0.2909090909090909,25.663636363636364,696.8181818181819,40.49090909090909,10.899999999999999,24.527272727272727,549.6818181818181
Extremadura,3.056590909090912,32.50136363636364,438.9818181818182,39.71886363636364,15.425227272727268,55.407272727272755,626.5377272727275
Galicia,2.5437499999999993,24.79999999999999,587.45,40.601875,12.025625,47.464375000000004,480.13374999999985
Illes Balears,5.608620689655174,28.912931034482742,101.45689655172414,39.147413793103446,16.196551724137922,46.41551724137933,525.5043103448274
Islas Canarias,12.188050314465404,26.05911949685535,366.54088050314465,48.15534591194967,18.465408805031448,79.13836477987421,260.9867924528302
La Rioja,-0.8547169811320754,26.271698113207542,906.1509433962265,39.84339622641511,10.371698113207543,26.003773584905655,588.5849056603774
Murcia,2.1866141732283473,32.93543307086613,485.90551181102364,41.64645669291339,15.711811023622051,40.81732283464565,646.435433070866
Navarra - Nafarroa,1.4179104477611943,28.24776119402985,487.34328358208955,38.17761194029849,12.71492537313433,23.585074626865666,586.6552238805972
Norte,3.0966292134831463,25.742134831460675,484.5561797752809,41.224157303370774,13.03146067415731,53.594943820224714,480.4971910112361
Otras,4.6063545150501675,27.349163879598652,368.80602006688963,41.2722408026756,14.490635451505016,56.73913043478262,481.16789297658835
Portugal,6.080923076923077,29.894769230769256,154.47076923076924,43.17876923076926,16.25107692307693,60.013846153846195,480.53169230769225
